YEAR,CONSUMPTION
2000,3.03
2001,3.04
2002,3.19
2003,3.28
2004,3.21
2005,3.23
2006,3.35
2007,3.5
2008,3.51
2009,3.49
2010,3.85
2011,3.8
2012,3.56
2013,3.73
2014,4.23
2015,4.33
2016,4.5
2017,4.78
