YEAR,YIELD
1990,8.7427855421687
1991,8.2071257771401
1992,8.5106460875808
1993,8.5909637681159
1994,8.6361202317721
1995,8.578845410628
1996,6.1815466408893
1997,6.8941159484673
1998,5.0704012944984
1999,4.7432878724297
2000,3.6751290322581
2001,6.339694739121
2002,3.4586937590711
2003,3.3398088805863
2004,3.9796244186047
2005,3.9854069767442
2006,4.4110876451954
2007,4.7480929250264
2008,4.8560116156283
2009,4.8809715789474
2010,5.1777526315789
2011,4.6901231578947
2012,5.6460368421053
2013,5.6062126315789
2014,5.7518957894737
2015,5.6203473684211
2016,4.2332947368421
2017,4.1385336842105
2018,5.1512884210526
