YEAR,YIELD
1987,1.1754806177119
1988,1.3331757508343
1989,0.77354171794241
1990,1.0281020107896
1991,1.1432773938796
1992,1.236356466877
1993,1.2113794954375
1994,1.3733669676049
1995,1.3783826849024
1996,1.2110917537747
1997,1.2990419888628
1998,1.2481038904349
1999,1.3814182884564
2000,1.3125503463831
2001,1.4593697762032
2002,1.7897484326224
2003,1.8628009725236
2004,2.0272869429242
2005,2.0747545219638
2006,2.1218389030383
2007,2.0180867004916
2008,2.5353162650602
2009,2.3925741514081
2010,2.5765654872587
2011,2.675547482087
2012,2.8037010891488
2013,2.8433990303798
2014,2.869775701844
2015,2.8529712366769
2016,2.7948975997585
2017,2.7733027884521
2018,2.7267319531392
