YEAR,AREA
1990,23
1991,40
1992,29
1993,29
1994,29
1995,27
1996,26
1997,27
1998,28
1999,26
2000,24
2001,24
2002,24
2003,35
2004,21
2005,20
2006,20
2007,20
2008,19.5
2009,20
2010,19
2011,18
2012,18
2013,18
2014,18
2015,17
2016,16.5
2017,16.5
2018,15.5
