YEAR,AREA
1987,31730
1988,35960
1989,40630
1990,40780
1991,50650
1992,50720
1993,37260
1994,37660
1995,37655
1996,37884
1997,37891
1998,36654
1999,37510
2000,37242
2001,40081
2002,38121
2003,38251
2004,38370
2005,38700
2006,38871
2007,38039
2008,39840
2009,37356
2010,38183
2011,39636
2012,39664
2013,41047
2014,41106
2015,41094
2016,39746
2017,40596
2018,38497
