YEAR,AREA
1987,3255900
1988,3392670
1989,3497280
1990,3318720
1991,3424960
1992,3198070
1993,3282350
1994,3651530
1995,3758691
1996,3951136
1997,3842270
1998,3170042
1999,3999839
2000,4038085
2001,4065441
2002,4046318
2003,4006421
2004,4126645
2005,4070421
2006,4159930
2007,4272889
2008,4459977
2009,4532310
2010,4354161
2011,4536642
2012,4690061.17
2013,4746091.35
2014,4739672.16
2015,4656227.14
2016,4556042.79
2017,4811807.77
2018,4800406.09
