YEAR,YIELD
1990,4.5262649509197
1991,4.5709226413523
1992,4.921768018018
1993,5.4133310503203
1994,6.3845633091507
1995,6.4345784
1996,6.213260237991
1997,6.898361752468
1998,6.8490768400963
1999,5.2644228215768
2000,5.0865517887245
2001,4.9845403797422
2002,5.1141536764706
2003,5.1142536764706
2004,4.8789733290488
2005,4.7498025
2006,4.6673557575758
2007,4.6321183783784
2008,4.6896791720569
2009,3.8448306049822
2010,4.1039622222222
2011,4.1650424766019
2012,4.0678211286089
2013,4.659922265625
2014,4.8963007389163
2015,5.0752009815951
2016,4.3740735827664
2017,4.4097904972376
2018,4.3385409766454
