YEAR,YIELD
1990,8.6074561403509
1991,8.5938053097345
1992,8.5494949494949
1993,8.5691089108911
1994,8.3888421052632
1995,7.9393442622951
1996,8.0716666666667
1997,9.1331896551724
1998,7.5559090909091
1999,7.5173873873874
2000,7.2999099099099
2001,7.4931481481481
2002,7.1453846153846
2003,7.1264356435644
2004,6.9838613861386
2005,6.8659459459459
2006,6.5627450980392
2007,6.619175257732
2008,6.9677906976744
2009,7.1209090909091
2010,6.9863043478261
2011,7.3067741935484
2012,7.222962962963
2013,7.1478527607362
2014,7.2669794721408
2015,7.1498786407767
2016,6.9659420289855
2017,7.0103496503497
2018,7.0464748201439
