YEAR,YIELD
1990,11.9
1991,12
1992,12
1993,12
1994,12
1995,12
1996,12
1997,12
1998,12.00387755102
1999,7.7352252252252
2000,7.0109090909091
2001,7.3585217391304
2002,7.5770434782609
2003,11.948358974359
2004,12.380821917808
2005,15.233160621762
2006,15.524875621891
2007,15.506818181818
2008,16.601941747573
2009,19.150943396226
2010,19.320388349515
2011,19.453887884268
2012,19.369369369369
2013,18.768292682927
2014,18.865187713311
2015,19.945155393053
2016,19.817792068596
2017,19.800347222222
2018,19.776983316309
