YEAR,YIELD
1990,4.7089759137488
1991,4.652988209069
1992,4.6077581880096
1993,4.4975949997612
1994,4.5705465023167
1995,4.5990411468231
1996,4.6397415003617
1997,4.4558979823713
1998,4.2541040134369
1999,4.2114884887683
2000,4.3389281966135
2001,4.3759767163844
2002,4.4853123188583
2003,4.4746146512452
2004,4.5228736061891
2005,4.7632343389056
2006,4.7696456313854
2007,4.8793654090186
2008,4.9169815474576
2009,4.9004619763664
2010,4.9458437608166
2011,4.9789393740402
2012,5.1135094292437
2013,5.5696643068279
2014,5.843143692528
2015,6.2439398330804
2016,6.2473411115167
2017,6.3231813935579
2018,6.2541980759129
