YEAR,CONSUMPTION
1990,0.71
1991,0.57
1992,0.58
1993,0.46
1994,0.64
1995,0.74
1996,0.78
1997,0.76
1998,0.72
1999,0.93
2000,0.83
2001,0.88
2002,0.81
2003,0.82
2004,0.78
2005,0.67
2006,0.65
2007,0.7
2008,0.74
2009,0.63
2010,0.61
2011,0.6
2012,0.66
2013,0.67
2014,0.6
2015,0.63
2016,0.63
2017,0.68
