YEAR,AREA
1990,4150
1991,4182
1992,4179
1993,4140
1994,4142
1995,4140
1996,4138
1997,4502
1998,4635
1999,4766
2000,4650
2001,4619
2002,6890
2003,6959
2004,8600
2005,8600
2006,9470
2007,9470
2008,9470
2009,9500
2010,9500
2011,9500
2012,9500
2013,9500
2014,9500
2015,9500
2016,9500
2017,9500
2018,9500
