YEAR,AREA
1987,48030
1988,56570
1989,52700
1990,40660
1991,47900
1992,52190
1993,58970
1994,49960
1995,61020
1996,93080
1997,90230
1998,66627
1999,98686
2000,88122
2001,78455
2002,78665
2003,74611
2004,82208
2005,76218
2006,74256
2007,78804
2008,84132
2009,83454
2010,78889
2011,83721
2012,84132
2013,87414
2014,87268
2015,85668
2016,79749
2017,92216
2018,90786
