YEAR,YIELD
1987,1.9258326093252
1988,2.010753306498
1989,2.018423067109
1990,2.1398747390397
1991,2.2841142347166
1992,1.9395670995671
1993,2.0833490343853
1994,2.3528599378525
1995,2.0826932709968
1996,2.3535413153457
1997,2.1447963800905
1998,1.7785038101616
1999,2.4054267210653
2000,2.5514930077577
2001,2.5240796710103
2002,2.6209935398748
2003,2.7043652282677
2004,2.943988561482
2005,2.8624946550987
2006,2.9793361982262
2007,3.0327293980129
2008,2.769006440115
2009,3.0021639432949
2010,2.9030872597381
2011,3.4082860531919
2012,3.5802011717183
2013,3.3939690776236
2014,3.5055751623958
2015,3.4809395456296
2016,3.5615155437251
2017,3.6808753896433
2018,3.860974942669
