YEAR,YIELD
1990,10.353218210361
1991,10.383784570597
1992,10.429619883041
1993,11.430922222222
1994,10.329555555556
1995,12.835933333333
1996,11.55234
1997,13.3105
1998,17.032323232323
1999,17.858166023166
2000,17.740462427746
2001,18.215730769231
2002,18.220579150579
2003,18.023585271318
2004,17.823282732448
2005,18.669201520913
2006,18.800705467372
2007,19.021052631579
2008,18.951473136915
2009,18.977663230241
2010,19.083044982699
2011,19.867768595041
2012,19.741935483871
2013,19.474193548387
2014,19.744816586922
2015,19.967532467532
2016,19.838969404187
2017,19.154761904762
2018,19.186513629842
