YEAR,AREA
1990,107509
1991,101420
1992,93594
1993,25528
1994,25197
1995,25779
1996,26156
1997,26559
1998,25831
1999,30357
2000,30970
2001,31676
2002,32228
2003,32303
2004,32303
2005,32228
2006,32123
2007,32123
2008,32123
2009,32123
2010,32123
2011,32283
2012,32283
2013,32283
2014,32283
2015,32283
2016,32283
2017,32283
2018,32283
