YEAR,YIELD
1987,2.6228852237477
1988,2.6442389032827
1989,2.7046081526215
1990,2.8080934818243
1991,2.8243430580211
1992,2.8545153795883
1993,2.874223650738
1994,2.8859283642747
1995,2.8043403940361
1996,2.8557781863241
1997,2.9328920143561
1998,2.6986468948992
1999,2.946774857688
2000,3.0681404675731
2001,3.1865841860699
2002,3.2796861245211
2003,3.3695620105825
2004,3.5129709485551
2005,3.587590816773
2006,3.6843663234718
2007,3.8007526055556
2008,3.7703216855154
2009,3.5889902720688
2010,3.6223554893813
2011,3.6776236696658
2012,3.8448380130616
2013,3.8851801135265
2014,4.0019278822863
2015,3.8979708751923
2016,3.8689814017309
2017,4.0060508547705
2018,3.9717668844137
