YEAR,AREA
1987,34530
1988,34780
1989,39190
1990,33530
1991,44820
1992,46200
1993,42460
1994,86890
1995,71868
1996,59300
1997,66300
1998,55247
1999,65933
2000,77729
2001,80732
2002,80339
2003,79950
2004,80430
2005,72499
2006,76559
2007,80417
2008,74067
2009,81333
2010,70548
2011,69973
2012,74762
2013,75544
2014,78204
2015,80507
2016,81898
2017,92713
2018,95062
