YEAR,YIELD
1990,41.178260869565
1991,40.8975
1992,40.858620689655
1993,40.858620689655
1994,40.858620689655
1995,39.481481481481
1996,41
1997,39.100740740741
1998,36.573214285714
1999,39.422692307692
2000,39.060416666667
2001,39.06
2002,39.450416666667
2003,59.415714285714
2004,69.279047619048
2005,71.4895
2006,69.097
2007,67.445
2008,67.925641025641
2009,66.289
2010,67.285263157895
2011,66.945
2012,66.857777777778
2013,67.335
2014,67.873333333333
2015,63.445882352941
2016,61.170909090909
2017,59.822424242424
2018,59.032258064516
