YEAR,YIELD
1990,1.815
1991,1.4525
1992,1.1933333333333
1993,1.113125
1994,0.98944444444444
1995,0.995
1996,0.97277777777778
1997,1.9189789123196
1998,1.8822222222222
1999,1.6777777777778
2000,1.6511111111111
2001,1.655
2002,1.8111111111111
2003,1.7877777777778
2004,1.7611111111111
2005,1.7377777777778
2006,1.7166666666667
2007,1.7233333333333
2008,1.7344444444444
2009,1.7233333333333
2010,1.6822222222222
2011,1.7088888888889
2012,1.6777777777778
2013,1.6844444444444
2014,1.6988888888889
2015,1.6677777777778
2016,1.6422222222222
2017,1.6733333333333
2018,1.6666666666667
