YEAR,AREA
1990,4
1991,3
1992,3
1993,3
1994,3
1995,3
1996,3
1997,3
1998,3
1999,3
2000,4
2001,4
2002,5
2003,5
2004,5
2005,5.13
2006,5
2007,5.04
2008,5.04
2009,5
2010,5
2011,5.07
2012,5.07
2013,5.07
2014,5.12
2015,4.1
2016,3.9
2017,3.89
2018,3.85
