YEAR,AREA
1990,222
1991,220
1992,221
1993,225
1994,234
1995,215
1996,218
1997,219
1998,212
1999,221
2000,223
2001,226
2002,223
2003,231
2004,241
2005,248
2006,266
2007,273
2008,254
2009,283
2010,292
2011,312
2012,299
2013,322
2014,341
2015,341
2016,345
2017,346
2018,346
