YEAR,YIELD
1990,6.236856542243
1991,6.5117586274896
1992,7.0538091116952
1993,7.2176120338452
1994,7.2414890661587
1995,7.0550905776019
1996,6.8542858235204
1997,5.3249998117399
1998,5.0160001548527
1999,4.2506374147643
2000,4.2190038747175
2001,4.1504564970325
2002,4.8200207893757
2003,4.8571863294431
2004,4.5852060180169
2005,4.7692255181829
2006,4.4363854559039
2007,4.5542153597111
2008,4.8287049777418
2009,4.8941854745821
2010,5.0045889238241
2011,5.0907731623455
2012,5.3766006876684
2013,5.5235411826658
2014,5.5944205928817
2015,5.6189353529722
2016,4.8193510516371
2017,4.6602100176564
2018,5.7427323978565
