YEAR,AREA
1987,3400
1988,3850
1989,3960
1990,3610
1991,3000
1992,3430
1993,3640
1994,4840
1995,4812
1996,5000
1997,4820
1998,4304
1999,4881
2000,5594
2001,5932
2002,5858
2003,5647
2004,5910
2005,6012
2006,6080
2007,6350
2008,6314
2009,6236
2010,6194
2011,5994
2012,6286
2013,6286
2014,6286
2015,6284
2016,6564
2017,6976
2018,7098
