YEAR,CONSUMPTION
1990,1.29
1991,1.35
1992,1.36
1993,1.37
1994,1.38
1995,1.46
1996,1.51
1997,1.44
1998,1.33
1999,1.4
2000,1.46
2001,1.49
2002,1.46
2003,1.5
2004,1.48
2005,1.59
2006,1.66
2007,1.7
2008,1.87
2009,1.8
2010,1.66
2011,1.54
2012,1.58
2013,1.54
2014,1.58
2015,1.58
2016,1.46
2017,1.48
