YEAR,AREA
1990,75005
1991,74874
1992,74305
1993,72663
1994,72628
1995,69422
1996,68936
1997,70000
1998,74405
1999,74350
2000,75942
2001,75450
2002,75450
2003,75455
2004,76398
2005,77925
2006,77925
2007,77925
2008,77925
2009,80612
2010,85610
2011,85611
2012,85611
2013,85661
2014,85661
2015,85661
2016,83750
2017,84250
2018,84250
