YEAR,PRODUCTION
2002,18
2003,11.5
2004,8.2
2005,4.13
2006,6.76
2007,10.55
2008,9.41
2009,59.1
2010,45.63
2011,44.44
2012,45.84
2013,23.68
2014,21.88
2015,14.89
2016,522.62
2017,663.96
2018,805.38
