YEAR,YIELD
1990,16.454545454545
1991,15.785714285714
1992,14.975
1993,14.675882352941
1994,13.086875
1995,9.76
1996,7.6607142857143
1997,8.3192307692308
1998,9.067
1999,9.397
2000,8.7625
2001,8.77125
2002,7.7207692307692
2003,6.7265517241379
2004,6.9971875
2005,7.2053333333333
2006,7.6157142857143
2007,7.6477966101695
2008,7.675
2009,7.6657575757576
2010,7.3452631578947
2011,7.6990728476821
2012,7.8135135135135
2013,8.0197435897436
2014,8.1329479768786
2015,8.0932558139535
2016,8.1570454545455
2017,8.2734939759036
2018,8.3365517241379
