YEAR,CONSUMPTION
1990,1.81
1991,1.86
1992,1.87
1993,1.67
1994,1.59
1995,1.58
1996,1.57
1997,1.55
1998,1.35
1999,1.36
2000,1.27
2001,1.34
2002,3.25
2003,3.18
2004,3.04
2005,2.94
2006,2.73
2007,2.69
2008,2.57
2009,2.5
2010,2.42
2011,2.17
2012,2.12
2013,2.09
2014,2.05
2015,1.97
2016,1.91
2017,1.81
