YEAR,YIELD
1990,12.818010075567
1991,11.74402125775
1992,11.027991683992
1993,10.251104545455
1994,11.066899059025
1995,11.710426540284
1996,12
1997,9.027
1998,8.810371040724
1999,8.7038254410399
2000,8.7551265229616
2001,8.7947012732615
2002,8.5971428571429
2003,8.4442991631799
2004,8.3211505376344
2005,7.9817672413793
2006,7.9083105022831
2007,7.7179377880184
2008,7.8234367816092
2009,7.805223880597
2010,8.112656309208
2011,7.5823863636364
2012,7.3406762028609
2013,7.3151515151515
2014,7.4309043250328
2015,7.3200131406045
2016,7.2912700534759
2017,7.2329624478442
2018,7.2346268656716
