YEAR,YIELD
1990,0.39450549450549
1991,0.40689655172414
1992,0.40785714285714
1993,0.40797619047619
1994,0.4295
1995,0.3862
1996,0.5782
1997,0.7302
1998,0.76780487804878
1999,0.80585365853658
2000,0.85102564102564
2001,0.84974358974359
2002,0.8255
2003,0.84789473684211
2004,0.85666666666667
2005,0.8525641025641
2006,0.95837209302326
2007,0.97380952380952
2008,0.88823529411765
2009,1.0526315789474
2010,0.91666666666667
2011,0.88888888888889
2012,0.82352941176471
2013,1
2014,1.05
2015,0.9746835443038
2016,0.94523809523809
2017,0.96595744680851
2018,0.97
