YEAR,AREA
1990,637
1991,687
1992,684
1993,900
1994,900
1995,900
1996,1000
1997,900
1998,495
1999,518
2000,519
2001,520
2002,518
2003,516
2004,527
2005,526
2006,567
2007,570
2008,577
2009,582
2010,578
2011,605
2012,620
2013,620
2014,627
2015,616
2016,621
2017,672
2018,697
