YEAR,AREA
1990,11
1991,14
1992,16
1993,17
1994,16
1995,14
1996,14
1997,13
1998,10
1999,10
2000,8
2001,8
2002,13
2003,29
2004,32
2005,30
2006,28
2007,29.5
2008,32
2009,33
2010,38
2011,37.75
2012,37
2013,39
2014,43.25
2015,43
2016,44
2017,41.5
2018,43.5
