YEAR,YIELD
1990,3.4729256716219
1991,2.9465938777146
1992,3.1756475338133
1993,3.2138907009069
1994,3.2009149363882
1995,3.3713603756734
1996,3.3929713067193
1997,6.1972748571429
1998,4.9810644445938
1999,4.020153866846
2000,3.1263620921229
2001,2.8502375082836
2002,3.7968079522863
2003,3.8360066264661
2004,3.8331941935653
2005,3.8347470003208
2006,3.8283648379852
2007,3.863850497273
2008,3.9571734359961
2009,3.9430172927108
2010,3.8301010395982
2011,3.9444712712151
2012,4.0322959666398
2013,4.1525194662682
2014,4.2773395127304
2015,4.2320840289046
2016,3.2230262686567
2017,3.1894557863501
2018,3.2029448071217
