YEAR,CONSUMPTION
1990,9.9
1991,6.46
1992,9.54
1993,9.52
1994,9.2
1995,9.24
1996,8.84
1997,8.34
1998,7.17
1999,7.05
2000,6.85
2001,6.56
2002,6.48
2003,6.32
2004,6.17
2005,6.37
2006,6.16
2007,6.13
2008,5.99
2009,5.83
2010,5.5
2011,5.15
2012,5.07
2013,5.09
2014,4.93
2015,5
2016,4.86
2017,4.85
