YEAR,YIELD
1987,2.4976247253004
1988,2.4180263473054
1989,2.4584210802033
1990,2.3388173612955
1991,2.4307023930877
1992,2.7545481364933
1993,3.2693737317838
1994,3.2102570250312
1995,2.8478929765886
1996,2.7646535363716
1997,2.667812430407
1998,2.4251332717322
1999,2.6776859871988
2000,2.7569672545935
2001,2.9011204584025
2002,3.0707873417933
2003,3.0596605448398
2004,3.2514943051677
2005,2.913258520727
2006,3.3220841010332
2007,3.3729021158061
2008,3.2990550480879
2009,3.348763789862
2010,3.2441160856486
2011,3.4770531794967
2012,3.4379332377778
2013,3.2794318775395
2014,3.2036901793249
2015,3.2250895372011
2016,3.1655575729426
2017,3.2708732158437
2018,3.2156678454423
