YEAR,AREA
1990,90
1991,97
1992,97
1993,108
1994,108
1995,112
1996,116
1997,120
1998,120
1999,130
2000,130
2001,130
2002,334
2003,334
2004,360
2005,808
2006,736
2007,764
2008,747
2009,756
2010,828
2011,822
2012,832
2013,830
2014,828
2015,819
2016,822
2017,845
2018,853
