YEAR,AREA
1990,247
1991,260
1992,234
1993,241
1994,242
1995,230
1996,219
1997,223
1998,211
1999,215
2000,214
2001,214
2002,230
2003,235
2004,241
2005,280
2006,303
2007,309
2008,308
2009,303
2010,312
2011,298
2012,292
2013,284
2014,285
2015,285
2016,315.41
2017,325
2018,325
