YEAR,AREA
1990,228
1991,226
1992,198
1993,202
1994,190
1995,122
1996,132
1997,116
1998,110
1999,111
2000,111
2001,108
2002,104
2003,101
2004,101
2005,111
2006,102
2007,97
2008,86
2009,88
2010,92
2011,93
2012,81
2013,81.5
2014,85.25
2015,82.4
2016,69
2017,71.5
2018,69.5
