YEAR,PRODUCTION
2002,279
2003,281.3
2004,251.03
2005,250.11
2006,300.93
2007,327.14
2008,339.67
2009,358.07
2010,353.35
2011,372.66
2012,376.76
2013,390.21
2014,407.36
2015,414.56
2016,359.17
2017,382.69
2018,367.01
