YEAR,AREA
1990,18
1991,61
1992,61
1993,61
1994,165
1995,290
1996,185
1997,185
1998,147
1999,111
2000,110
2001,115
2002,115
2003,195
2004,365
2005,386
2006,402
2007,440
2008,515
2009,530
2010,515
2011,553
2012,555
2013,574
2014,586
2015,547
2016,559.8
2017,576
2018,587.4
