YEAR,YIELD
1987,3.3096398084531
1988,3.2979494431678
1989,3.557210626186
1990,3.2972700442696
1991,3.1937160751566
1992,3.0553937535926
1993,2.7254875360353
1994,3.16096877502
1995,3.2685185185185
1996,2.8040287924366
1997,2.773478887288
1998,2.8848815044952
1999,2.7027237906086
2000,3.26939924196
2001,3.2840864189663
2002,3.2270768448484
2003,3.2448432536757
2004,3.3112227520436
2005,3.5871447689522
2006,3.707848524025
2007,3.6960433480534
2008,3.5509437550516
2009,3.6021401011336
2010,3.6662018785889
2011,3.7076719102734
2012,3.6839846907241
2013,3.7686068593132
2014,3.9521015721685
2015,3.9389853854415
2016,3.8553963059098
2017,3.8882948729071
2018,3.842068160289
