YEAR,AREA
1990,39
1991,39
1992,40
1993,27
1994,26
1995,20
1996,35
1997,27
1998,22
1999,36
2000,27
2001,26
2002,22
2003,24
2004,25
2005,30
2006,25
2007,25
2008,37
2009,43.5
2010,34
2011,35
2012,46.5
2013,67.25
2014,72.5
2015,69
2016,59.25
2017,68
2018,64.5
