YEAR,YIELD
1990,6.0607692307692
1991,5.5666666666667
1992,5.7422222222222
1993,5.794623655914
1994,6.1677777777778
1995,6.2533333333333
1996,6.5044444444444
1997,5.054
1998,4.2166666666667
1999,4.3033333333333
2000,4.46
2001,5.2933333333333
2002,5.3516666666667
2003,12.421666666667
2004,11.398571428571
2005,11.927777777778
2006,11.967213114754
2007,15.24043715847
2008,21.472131147541
2009,22.525555555556
2010,23.336666666667
2011,23.902547065338
2012,14.781769793746
2013,15.431333333333
2014,15.660079051383
2015,16.660863509749
2016,16.145980253879
2017,16.271777003484
2018,16.405817174515
