YEAR,AREA
1990,67
1991,67
1992,56
1993,53
1994,40
1995,48
1996,48
1997,48
1998,48
1999,48
2000,48
2001,44
2002,44
2003,44
2004,43
2005,46
2006,66
2007,60
2008,123
2009,95
2010,164
2011,164
2012,158
2013,157
2014,157
2015,156
2016,161
2017,165
2018,161
