YEAR,YIELD
1990,6.5154987714988
1991,6.7288021082894
1992,6.6853981042654
1993,6.4308010075567
1994,6.7709001956947
1995,6.6711871921182
1996,6.7132878787879
1997,6.7046916625555
1998,6.5697593732513
1999,6.7163800424628
2000,6.6303604088219
2001,6.6102163061564
2002,6.5740425531915
2003,6.541640153593
2004,6.6077178649237
2005,7.1997202072539
2006,7.0980843672457
2007,7.1383348837209
2008,7.0043810916179
2009,6.9481506849315
2010,6.9427906976744
2011,6.9827664399093
2012,6.8805506216696
2013,6.9205116491549
2014,6.9023722627737
2015,6.8380790480238
2016,7.245893946504
2017,7.2579918955425
2018,6.7631697433588
