YEAR,AREA
1990,150
1991,150
1992,150
1993,153
1994,153
1995,153
1996,145
1997,139
1998,139
1999,140
2000,140
2001,143
2002,145
2003,147.5
2004,151
2005,153
2006,153.5
2007,155
2008,155
2009,156
2010,156
2011,160
2012,155
2013,155
2014,157
2015,157
2016,157
2017,157
2018,156
