YEAR,AREA
1990,6824
1991,6953
1992,7648
1993,7925
1994,7961
1995,7961
1996,7890
1997,7890
1998,7890
1999,7870
2000,7924
2001,8196
2002,7449
2003,7401
2004,7454
2005,7489
2006,7493
2007,7543
2008,7590.1
2009,7590
2010,7624
2011,7710
2012,7310
2013,7170
2014,6770
2015,5716
2016,5623
2017,5623
2018,5575
