YEAR,AREA
1990,13
1991,9
1992,9
1993,9.3
1994,9
1995,9
1996,9
1997,5
1998,6
1999,6
2000,6
2001,6
2002,6
2003,6
2004,7
2005,9
2006,9.15
2007,9.15
2008,9.15
2009,9
2010,9
2011,9.03
2012,15.03
2013,15
2014,15.18
2015,14.36
2016,14.18
2017,14.35
2018,14.44
