YEAR,YIELD
1990,0.225
1991,0.226
1992,0.235
1993,0.26175490559052
1994,0.26444444444444
1995,0.26555555555556
1996,0.2662962962963
1997,0.2662962962963
1998,0.26875
1999,0.28
2000,0.28375
2001,0.29608695652174
2002,0.32153846153846
2003,0.78961538461539
2004,0.93777777777778
2005,0.946
2006,0.93870967741935
2007,1.0147540983607
2008,1.0905714285714
2009,1.21
2010,1.4361363636364
2011,1.7211363636364
2012,1.9686
2013,3.1590196078431
2014,4.0698181818182
2015,4.8121052631579
2016,4.9837931034483
2017,5.2114285714286
2018,5.3031666666667
