YEAR,YIELD
1990,0.80512820512821
1991,0.93846153846154
1992,0.97325
1993,0.92222222222222
1994,0.89230769230769
1995,0.829
1996,1.5425714285714
1997,1.9281481481481
1998,1.3859090909091
1999,0.87305555555556
2000,0.89259259259259
2001,0.86923076923077
2002,0.80454545454546
2003,0.805
2004,0.8108
2005,0.82
2006,0.852
2007,0.898
2008,0.93378378378378
2009,0.90298850574713
2010,0.88147058823529
2011,0.95228571428571
2012,1.0640860215054
2013,1.0498141263941
2014,1.0328275862069
2015,1.0155072463768
2016,0.97637130801688
2017,0.9025
2018,0.90341085271318
