YEAR,YIELD
1990,3.8374178737767
1991,3.650676858281
1992,3.7659531223323
1993,3.7934256062112
1994,3.8398337056903
1995,4.1334049195928
1996,3.7905937592985
1997,4.373328946425
1998,4.1101193133513
1999,3.6932599069245
2000,4.1332792774854
2001,4.1751378447468
2002,4.4217329767072
2003,4.4439853966762
2004,4.4087306111627
2005,4.5708646159842
2006,4.4819345935642
2007,4.4208079912458
2008,4.5327518301773
2009,4.6060755824314
2010,4.3373947051253
2011,4.2798119443143
2012,4.4379064846676
2013,4.3235827017125
2014,4.1965306155893
2015,4.1888192538008
2016,3.8779382459485
2017,3.8892435221729
2018,4.0588809254634
