YEAR,AREA
1990,60
1991,60
1992,60
1993,62
1994,63
1995,62
1996,62
1997,100
1998,90
1999,80
2000,95
2001,94
2002,95
2003,95
2004,102
2005,103
2006,103
2007,106
2008,109
2009,115
2010,123
2011,129
2012,134
2013,136
2014,136
2015,138
2016,138
2017,138
2018,138
