YEAR,AREA
1990,630
1991,663
1992,657
1993,661
1994,660
1995,661
1996,790
1997,750
1998,720
1999,725
2000,723
2001,715
2002,718
2003,721
2004,722
2005,724
2006,730
2007,730
2008,738
2009,741
2010,745
2011,753
2012,758
2013,758
2014,762
2015,765
2016,765
2017,765
2018,765.5
