YEAR,YIELD
1987,1.5597058823529
1988,1.5581818181818
1989,1.6570707070707
1990,1.6520775623269
1991,1.7413333333333
1992,2.2026239067055
1993,2.5313186813187
1994,2.050826446281
1995,1.7788861180382
1996,1.851
1997,1.9209543568465
1998,1.8013475836431
1999,1.9444785904528
2000,1.9733643189131
2001,2.0114632501686
2002,2.3659952202117
2003,2.1372410129272
2004,2.3450084602369
2005,2.439121756487
2006,2.5932565789474
2007,2.6459842519685
2008,2.7149192271143
2009,2.6011866581142
2010,2.5476267355505
2011,2.6343009676343
2012,2.6560610881324
2013,2.782532612154
2014,2.760897231944
2015,2.8873329089752
2016,2.7643205362584
2017,2.9065366972477
2018,2.8060974922513
