YEAR,YIELD
1990,13.589770980141
1991,14.560304504787
1992,14.478822804314
1993,14.343723529412
1994,14.783048780488
1995,15.138799050412
1996,15.454169491525
1997,14.7012376502
1998,14.112869473545
1999,14.262875015797
2000,14.373308845311
2001,15.172743301888
2002,14.573651409656
2003,14.741081644731
2004,14.926047493274
2005,15.501574175487
2006,16.93021875064
2007,17.998711198979
2008,19.934484814336
2009,19.840265322236
2010,18.967475048053
2011,18.260587852316
2012,19.209792401005
2013,19.804940050246
2014,21.803074661325
2015,22.283724045892
2016,20.738465171192
2017,21.452541086452
2018,21.731866666324
