YEAR,YIELD
1987,3.2481653076353
1988,3.5068521673292
1989,3.4603924133421
1990,3.5198209539796
1991,3.0595017381228
1992,2.9534382660302
1993,3.463983526769
1994,3.7243366186505
1995,3.8677979260245
1996,3.3995916193182
1997,3.3796412677922
1998,3.5342181459104
1999,3.6967210734201
2000,3.6281378527868
2001,3.5769590869236
2002,3.8101570854105
2003,3.6950820203592
2004,3.5937287658065
2005,3.7334388202861
2006,3.8204829654204
2007,3.9555773168343
2008,4.0762333068253
2009,4.0453933519362
2010,4.17710802994
2011,4.042854692057
2012,4.1946726608598
2013,4.3261714952362
2014,4.5302999734537
2015,4.5165578671853
2016,4.521163908623
2017,4.6594564840676
2018,4.7733853135565
