YEAR,YIELD
1990,24.125465587045
1991,25
1992,24.560128205128
1993,25.012157676349
1994,25.028223140496
1995,24.669260869565
1996,23.151324200913
1997,23.158340807175
1998,22.819289099526
1999,22.806651162791
2000,22.658457943925
2001,22.623317757009
2002,23.822391304348
2003,54.279872340426
2004,25.285684647303
2005,22.812964285714
2006,22.073729372937
2007,22.317669902913
2008,21.867532467532
2009,21.887788778878
2010,21.36858974359
2011,20.634228187919
2012,20.366438356164
2013,20.669014084507
2014,19.827368421053
2015,19.492
2016,18.548872895596
2017,18.801538461538
2018,19.209230769231
