YEAR,YIELD
1990,4.3657142857143
1991,4.2386123680241
1992,4.3581582952816
1993,4.3658547655068
1994,4.3899848484848
1995,4.3884871406959
1996,4.3694683544304
1997,4.6521066666667
1998,4.3124166666667
1999,4.3587034482759
2000,4.360387275242
2001,4.4045454545455
2002,4.3959610027855
2003,4.3854091539528
2004,4.4199584487535
2005,4.450179558011
2006,4.4346164383562
2007,4.3571232876712
2008,4.3652032520325
2009,4.3782051282051
2010,4.3720536912752
2011,4.4311420982736
2012,4.4767546174142
2013,4.9256992084433
2014,5.1601181102362
2015,5.2576862745098
2016,5.2277124183007
2017,5.6516993464052
2018,5.6823644676682
