YEAR,PRODUCTION
2002,459
2003,480.2
2004,636.39
2005,1111.55
2006,1179.92
2007,1363.58
2008,1565.78
2009,1879.48
2010,2481.48
2011,1865.96
2012,2050.15
2013,2122.29
2014,1887.96
2015,1898.6
2016,1848.45
2017,1562.28
2018,1698.57
