YEAR,CONSUMPTION
1990,92.53
1991,83.71
1992,87.13
1993,88.52
1994,86.49
1995,92.55
1996,98.73
1997,97.05
1998,91.91
1999,99.68
2000,103.16
2001,103.77
2002,108.03
2003,107.02
2004,116.09
2005,118.8
2006,118.7
2007,126.26
2008,128.1
2009,121.51
2010,113.82
2011,116.46
2012,118.87
2013,115.63
2014,114.35
2015,111.62
2016,107.83
2017,118.25
