YEAR,AREA
1990,50
1991,50
1992,50
1993,52
1994,52
1995,52
1996,53
1997,53
1998,54
1999,54
2000,54
2001,46
2002,46
2003,46
2004,46
2005,46
2006,46
2007,46
2008,46
2009,46
2010,46
2011,45
2012,45
2013,45
2014,45
2015,45
2016,45
2017,44
2018,44
