YEAR,PRODUCTION
2002,164
2003,197.2
2004,697.2
2005,782.43
2006,853.3
2007,806.68
2008,957.83
2009,946.16
2010,434.57
2011,609.05
2012,1005.75
2013,1125.43
2014,900.36
2015,1346.17
2016,1496.4
2017,1948.64
2018,1920.5
