YEAR,AREA
1990,2035
1991,2087
1992,2110
1993,1985
1994,2044
1995,2030
1996,1980
1997,2027
1998,1787
1999,1884
2000,1859
2001,1803
2002,1833
2003,1823
2004,1836
2005,1930
2006,2015
2007,2150
2008,2052
2009,2190
2010,2150
2011,2205
2012,2252
2013,2189
2014,2192
2015,2353
2016,2131
2017,2221
2018,2221
